,rozdiel,podiel,FAO,modif,R,b,ax,alt
11880,-0.202059225,0.86604765,2.690399029,2.739796121,0.923632972,0.314858435,0.958073428,139
11881,-0.166085949,0.916983453,2.742276351,2.668423542,0.916939612,0.257665082,0.966604703,135
11892,-0.178559074,0.893579503,2.35899968,2.41699761,0.914205892,0.166611604,1.005064634,532
11898,-0.005713411,0.925509424,2.572740578,2.445791018,0.916870533,0.266898796,0.898479704,427
11900,-0.179169315,0.866218777,2.636518504,2.641425687,0.920801855,0.317291201,0.947612017,275
11901,0.115334704,0.984597868,2.621017393,2.367330995,0.914891603,0.239597628,0.86458223,575
11903,-0.175412053,0.876844376,2.558048615,2.613719517,0.920874799,0.25424855,0.969181001,313
11904,-0.119521885,0.910771355,2.610236785,2.56918426,0.911660874,0.254638192,0.948235996,368
11905,-0.162897263,0.895736929,2.662687187,2.663107935,0.924145449,0.255038554,0.965395375,228
11910,0.374390937,1.087538719,2.464712453,1.976704537,0.910176681,0.221486749,0.758236428,1018
11916,0.72900365,inf,1.99869353,1.238389906,0.865234847,0.111070563,0.579688331,2005
11917,-0.190641776,0.864539744,2.444498339,2.528208113,0.914699544,0.229434023,0.984130794,487
11918,0.096981663,1.004570375,2.342342775,2.209617772,0.916700565,0.180139249,0.881690709,692
11927,-0.135960197,0.900067568,2.675900095,2.643451362,0.914716659,0.291575241,0.94184572,214
11930,0.921235748,inf,2.067180173,1.113746339,0.825427978,0.045337385,0.532419503,2635
11931,0.53340584,1.330485195,2.108899069,1.547577321,0.850574984,0.207873093,0.648499568,1778
11933,0.394696343,1.136428983,2.270239684,1.886610609,0.88320734,0.222207341,0.728264954,1322
11934,0.093677512,1.006364647,2.435747147,2.301801398,0.908317354,0.190291784,0.883415938,694
11938,0.222070817,1.066890422,2.384483593,2.103591155,0.912756987,0.171672973,0.83487251,901
11942,-0.237116952,0.875924884,2.68816376,2.697518267,0.922854959,0.246949027,0.996342457,215
11944,-0.193431894,0.905232949,2.516275385,2.582875353,0.900036037,0.238001951,0.98228729,311
11946,-0.064189609,0.946178456,2.408769907,2.302278996,0.908853418,0.173323514,0.954693097,580
11949,-0.240706853,0.899444315,2.377327925,2.502641511,0.910791565,0.175482927,1.027435814,380
11952,0.169023579,1.023930233,2.51241205,2.260415787,0.917775997,0.202014678,0.852317912,703
11955,-0.025693441,0.992009541,2.550080165,2.440700016,0.921877359,0.142533695,0.954181733,307
11957,0.038829713,0.945836701,2.333609356,2.243151418,0.880020934,0.293294285,0.85767798,807
11963,-0.057233626,0.94968669,2.541099983,2.406142847,0.915247351,0.202744506,0.94273705,410
11966,-0.154836798,0.918352842,2.549047208,2.528910615,0.921452043,0.196561297,0.983631335,138
11968,0.037749313,0.995100894,2.606773,2.488967303,0.915598281,0.212460859,0.904015358,230
11976,-0.045687266,-87178445051,2.517189475,2.443489261,0.925340427,0.194381482,0.940928477,216
11978,-0.018378145,0.971451487,2.664770983,2.529783954,0.912893875,0.221097505,0.92392616,105
11979,-0.119471622,0.928128372,2.631996395,2.617817934,0.899236874,0.256611403,0.947895149,100
11982,0.009507116,0.976586011,2.54358795,2.517450686,0.914428937,0.222181523,0.908912668,110
11984,-0.066323559,0.919322822,2.646771736,2.554304728,0.915701094,0.269020945,0.923417126,122
11993,-0.103255244,0.928861879,2.518737924,2.520614889,0.921914043,0.220634637,0.953397536,176
11995,-0.115180438,0.925525032,2.603964823,2.613222842,0.900785276,0.276867917,0.937907195,103
11811,0.036542671,0.964177157,2.646510884,2.504443665,0.927946606,0.24226795,0.894649736,177
