,var_PM,var_harg_,var_harg_Rs,var_livia_,var_modif_,var_modif_droog,var_Berti,var_droogersAllen2,var_traj_balk,var_Ravazzani,se_PM,se_harg_,se_harg_Rs,se_livia_,se_modif_,se_modif_droog,se_Berti,se_droogersAllen2,se_traj_balk,se_Ravazzani,mean_PM,mean_harg_,mean_harg_Rs,mean_livia_,mean_modif_,mean_modif_droog,mean_Berti,mean_droogersAllen2,mean_traj_balk,mean_Ravazzani,median_PM,median_harg_,median_harg_Rs,median_livia_,median_modif_,median_modif_droog,median_Berti,median_droogersAllen2,median_traj_balk,median_Ravazzani,nadm_vyska
11855,4.241760526009742,3.8216410621720973,3.225815348348993,5.0542341871918435,2.3134282955506755,3.753956510633908,2.9593106228085624,4.110690399213639,2.500974074919421,0.01351719503604197,,0.016379813961209265,,0.018836998275074332,0.012744184173216055,0.016234115669112478,0.014413826629979533,0.01698796673251314,0.01325069362026382,0.0009741533034003597,2.762202564570072,2.5296968085671945,2.327010984366391,2.6740978092831273,1.964547149148488,2.6590861989146113,2.2144853160317237,2.750079939157164,2.094964435582755,0.15044813747598557,0.2789837234515769,2.111139294276552,0.9311193542004489,2.082237033568686,1.6389796053911672,2.2960111952254905,1.8416864968948965,2.363263949155285,1.7771560512025506,0.1255553526021841,135.0
11856,3.980101951508202,3.5208248783422857,3.058910233750723,4.457305403441554,2.2598496303708044,3.6477185331935167,2.7189269367735607,3.848673773554053,2.3318173150658907,0.046547309961935325,,,,,,,,,,,2.7147995955684787,2.429657824132817,2.2646730631425562,2.521159673044589,1.960923387304675,2.6209290327387627,2.1244069523252223,2.660667898417285,2.0226255793631953,0.27936384313189727,2.122606549255935,1.79708788320601,0.6102887222514941,1.455557250983439,1.4581826770736153,2.0298133887276624,1.5628369270012374,2.0420541541562245,1.5278146499095941,0.20663048619917643,261.0
11858,4.060350685667721,3.798179840861139,3.171734243624677,4.9206758270875675,2.2788458728223304,3.7284463507072054,2.9371717622780436,4.107835963818532,2.5003482137013378,0.009748557410151987,,0.015925913283511638,,0.01812712634852152,0.01233599148824902,0.015779038420309276,0.01400494013072929,0.016562394727809397,0.012921616043748524,0.0008068387749056714,2.7323595509344467,2.578362944076622,2.3475784187894333,2.7133661246298617,1.9904292851554395,2.7024709203185253,2.2564503954122186,2.804145694320472,2.137818805445015,0.13062504875087788,5.436107495786416,2.192070953307393,4.965918207081192,2.1803996317347263,1.6878889881338883,2.3691848940996665,1.9119771230045153,2.448340544230322,1.8417661286942688,0.11105472012735085,115.0
11867,3.848855824900277,3.6503046362837863,2.740132395191675,4.872700096068615,2.3439658534327883,3.7147087383647213,2.82832734758379,3.9235073451637548,2.3830625149896765,0.04789001295203094,,0.015612812332626328,,0.018038541738492238,0.012511005781776243,0.015749942339486303,0.013742996024829647,0.016186532346158612,0.012614914232809788,0.001788294585914771,2.5464669303883136,2.4568070745138106,2.1010587006198396,2.605354678726842,1.983650081270408,2.6316782881000305,2.1512323990304716,2.67210483473943,2.0323312062385934,0.2814031640416892,4.804512969803362,2.0102230782758115,3.623705244235778,1.9686538532543445,1.629369114744796,2.2380747511863355,1.7536429528370874,2.253853188896257,1.6894853654438673,0.23025134554709936,260.0
11868,3.2587489537875856,2.951738931596311,1.9185646016352107,3.9976489672099516,2.4549974971451745,3.490870641998145,2.2895022678653953,3.189509207467029,1.9188027040223057,0.3485268950817355,,0.014039626560668405,,0.016338753193165485,0.01280389521581255,0.015268046093691057,0.012364800781045819,0.01459414021833155,0.011319617329912103,0.004824304737380737,2.3830469901989635,2.0882816770166417,1.7733610111785687,2.2050064949627406,2.005275641696485,2.43723606686713,1.8284766428279247,2.2955469444361682,1.728083534432685,0.7175765782574448,4.542984674199467,1.616238523097619,4.708244998910237,1.5238730105096265,1.6035319626770672,1.9903599361423032,1.4080729721587677,1.859460022213927,1.3717665741476357,0.5553728320353468,780.0
11874,3.286015372931304,3.239379223155611,2.0970248065332036,4.374517172591491,2.494141842022233,3.670880185513741,2.511672808148865,3.4887024031748983,2.1092821427652964,0.25750809668155916,,0.014707792043279462,,0.017091557772320628,0.012905569042937196,0.015656752607248744,0.012950845321219302,0.015263303736300698,0.011868174478837085,0.004146789869582824,2.37868505394057,2.269085662625464,1.8524500000755404,2.4088200357090233,2.0688441444143915,2.5774595169088297,1.987261200475706,2.478818007302261,1.875421626743557,0.6397575796083151,3.9724032961157447,1.8154711744616765,3.854945210612144,1.7660869673469715,1.6961119573685344,2.1577446842448404,1.5800836285932625,2.0575090317633746,1.5328492420515034,0.5118631982709675,640.0
11879,3.529533364400438,2.742270610179811,2.2017291767118836,3.3806902167854735,2.2351907850139505,3.3270018454409063,2.114431468840121,3.0534115142086975,1.8293358419193237,0.30578619085245506,,0.014860359872937597,,0.016499730879139488,0.013416260164536937,0.01636819133766354,0.013048812150445588,0.015680750392000783,0.012137266670157892,0.0049623010326957035,2.501097506161933,2.079923112770523,1.8942428487636862,2.119356812058274,1.9675859302170893,2.4431594545155093,1.8169544348758095,2.3087919932063667,1.7386084549902883,0.6945460741650621,0.3674015479385613,1.6398036425336073,0.3510464877220997,1.5386453798249775,1.5940302756652394,2.0211108845845485,1.4267165622826459,1.8986366248565794,1.4058304345888757,0.5475775404054285,758.0
11880,4.019648310660288,4.138010150498717,2.9695766105373442,5.708126273317639,2.5097254094642754,3.995684909809521,3.2131348010678606,4.378140057751619,2.674835392289806,0.015516376200381066,,0.01662311312148431,,0.019523755956071302,0.012945823697869218,0.016334739059875585,0.014648091948580909,0.017098633745908934,0.013364881577675722,0.0010179155171356053,2.690399028936552,2.6572171863200644,2.2983058705889694,2.8874361383674687,2.065978672680799,2.7642495658996213,2.3304147261749653,2.8593340049546168,2.1823978062369167,0.16271456414856472,5.399601841306385,2.2369211168567595,4.661796751250845,2.2866137929790913,1.7365920792013037,2.3995904034606204,1.9548339505090178,2.4694684648318157,1.8615727963591948,0.13697775493772774,139.0
11881,3.743799404100672,3.912059360977249,2.838285172467677,5.170304242601863,2.368549720328634,3.835455653865358,3.0291728509974174,4.202964394128459,2.5605321777528935,0.013837005756068535,,,,,,,,,,,2.7422763512475004,2.5651201404008623,2.314189609000324,2.719068145623088,1.99213815986945,2.6915559099319024,2.245910841548199,2.78447599650293,2.1224733527902377,0.15255486199709045,,5.733621709726152,0.1038972651020049,6.5314914230985535,4.458769120206386,5.756178587360941,5.0419876614586725,6.002066290915649,4.653677506964045,0.34099450349101496,135.0
11892,3.1200468610652847,3.4293627901828376,2.01952017085479,4.672307954220719,2.509869580708757,3.752601879002464,2.6608137464811277,3.673766111311345,2.2255046251007085,0.18836744384053256,,,,,,,,,,,2.3589996801547604,2.3152135323067675,1.8302072657901574,2.462235334280375,2.0382924660551573,2.58492802438547,2.0278156425227962,2.5241290765479616,1.9129102236281976,0.5426093321517337,4.6776621533604095,0.14377549835122724,3.6683764865595676,0.0988324933309291,0.16822670413735907,0.23493691913987888,0.1246548443953327,0.2004685356672534,0.11787425948521946,0.033696212488190144,532.0
